timestamp,ip,user_agent,path,method
2025-03-17 10:48:54,45.148.10.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46",/,GET
2025-03-17 10:52:00,85.208.96.194,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),search,GET
2025-03-17 10:52:21,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:53:12,52.167.144.145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.68",article/detail/238,GET
2025-03-17 10:53:14,52.167.144.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.68",search,GET
2025-03-17 10:55:38,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:57:33,51.222.253.8,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),product/detail/809,GET
2025-03-17 10:59:21,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 10:59:38,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 11:00:19,18.210.92.235,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; PerplexityBot/1.0; +https://perplexity.ai/perplexitybot)",article/detail/223,GET
2025-03-17 11:02:00,66.249.79.204,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",article/detail/82,GET
2025-03-17 11:05:16,66.249.79.195,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",product/detail/134,GET
2025-03-17 11:08:22,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-17 11:09:46,18.181.54.186,,/,GET
